Geometry X Y;Geometry;N_SQ_AD;N_VOIE;C_SUF1;C_SUF2;C_SUF3;C_AR;A_NVOIE;B_ANGLE;B_OFFSTDF;B_AFFSTDF;B_HORS75;L_NVOIE;L_ADR;N_SQ_AR;N_SQ_VO;OBJECTID
48.8677526112, 2.34150847825;"{""type"": ""Point"", ""coordinates"": [2.341508478245014, 48.86775261123154]}";750004960;9;;;;2;74.87999725;O;O;;N;9;9 RUE NOTRE-DAME DES VICTOIRES;750000002;750005703;19757
48.8648084673, 2.34031681275;"{""type"": ""Point"", ""coordinates"": [2.340316812745948, 48.86480846730764]}";750000527;39;;;;1;66.94999695;N;O;;N;39;39 RUE CROIX DES PETITS CHAMPS;750000001;750005891;19855
48.8704510222, 2.34125888883;"{""type"": ""Point"", ""coordinates"": [2.341258888832493, 48.87045102216984]}";750004110;1;;;;2;82.01999664;O;O;;N;1;1 GAL FEYDEAU;750000002;750005806;20097
48.8635514052, 2.34085901703;"{""type"": ""Point"", ""coordinates"": [2.340859017029879, 48.86355140518338]}";750000277;20;;;;1;217.44999695;O;O;;N;20;20 RUE DU BOULOI;750000001;750005949;15415
48.8660806405, 2.33763298983;"{""type"": ""Point"", ""coordinates"": [2.337632989832556, 48.866080640511086]}";750001438;71;;;;1;71.05000305;N;O;;N;71;71 GAL DE MONTPENSIER;750000001;750005648;20384
48.8716604537, 2.3391874618;"{""type"": ""Point"", ""coordinates"": [2.339187461800469, 48.87166045370789]}";750141856;1;;;;2;288.63000488;O;O;;N;1;1 PAS DES PRINCES;750000002;750005624;20791
48.8711533389, 2.33688962187;"{""type"": ""Point"", ""coordinates"": [2.33688962187481, 48.87115333894198]}";750152070;29;;;;2;85.70999908;O;O;;N;29;29 RUE DE GRAMONT;750000002;750005807;21008
48.8626565401, 2.33593294709;"{""type"": ""Point"", ""coordinates"": [2.335932947090126, 48.862656540112496]}";750002068;170;;;;1;333.57998657;O;O;;N;170;170 RUE DE RIVOLI;750000001;750005604;17007
48.8697616395, 2.34122134144;"{""type"": ""Point"", ""coordinates"": [2.341221341441204, 48.86976163954015]}";750003447;10;;;;2;342.76998901;N;O;;N;10;10 PL DE LA BOURSE;750000002;750005955;36935
48.8673226153, 2.33317366892;"{""type"": ""Point"", ""coordinates"": [2.333173668920407, 48.86732261533794]}";750000778;4;;;;1;342.17999268;N;O;;N;4;4 RUE GOMBOUST;750000001;750005920;36398
48.8644053271, 2.33833081582;"{""type"": ""Point"", ""coordinates"": [2.338330815824973, 48.86440532712445]}";750002897;17;;;;1;70.47000122;N;O;;N;17;17 RUE DE VALOIS;750000001;750005517;36454
48.8646620306, 2.33689605627;"{""type"": ""Point"", ""coordinates"": [2.33689605627475, 48.86466203057302]}";750001450;18;;;;1;71.05999756;N;O;;N;18;18 GAL DE MONTPENSIER;750000001;750005648;36862
48.8661012387, 2.33585765773;"{""type"": ""Point"", ""coordinates"": [2.335857657731554, 48.86610123869861]}";750002747;8;;;;1;319.58999634;N;O;;N;8;8 RUE THERESE;750000001;750005543;33743
48.868615342, 2.33587755707;"{""type"": ""Point"", ""coordinates"": [2.335877557065916, 48.868615342011395]}";750003789;82;;;;2;248.02999878;N;O;;N;82;82 PAS CHOISEUL;750000002;750005911;33913
48.8709100974, 2.34136225946;"{""type"": ""Point"", ""coordinates"": [2.341362259461969, 48.870910097425835]}";750006230;4;;;;2;169.25;N;O;;N;4;4 GAL DES VARIETES;750000002;750005480;33242
48.8700735313, 2.3406253807;"{""type"": ""Point"", ""coordinates"": [2.340625380699238, 48.87007353126804]}";750006338;33;;;;2;69.72000122;O;O;;N;33;33 RUE VIVIENNE;750000002;750006607;33272
48.8649009943, 2.33581496684;"{""type"": ""Point"", ""coordinates"": [2.3358149668398083, 48.864900994305394]}";750001288;12;;;;1;230.6000061;N;O;;N;12;12 RUE MOLIERE;750000001;750005634;690
48.8635124622, 2.34048838432;"{""type"": ""Point"", ""coordinates"": [2.340488384322094, 48.86351246222026]}";750157491;5;;;;1;36.06000137;O;O;;N;5;5 RUE DU BOULOI;750000001;750005949;3002
48.8706106499, 2.33744347966;"{""type"": ""Point"", ""coordinates"": [2.337443479659507, 48.87061064991864]}";750004647;4;;;;2;254.38000488;O;O;;N;4;4 RUE DE MARIVAUX;750000002;750005713;3130
48.8666297298, 2.34013475684;"{""type"": ""Point"", ""coordinates"": [2.34013475683554, 48.86662972982136]}";750003290;7;;;;2;70.09999847;N;O;;N;7;7 RUE DE LA BANQUE;750000002;750006012;2336
48.8673843136, 2.33477100587;"{""type"": ""Point"", ""coordinates"": [2.334771005870699, 48.867384313561296]}";750004671;2;;;;2;249.6000061;O;O;;N;2;2 RUE MEHUL;750000002;750005708;2400
48.8683028669, 2.34173375968;"{""type"": ""Point"", ""coordinates"": [2.341733759680913, 48.86830286690326]}";750004964;17;;;;2;74.88999939;N;O;;N;17;17 RUE NOTRE-DAME DES VICTOIRES;750000002;750005703;2567
48.8716939116, 2.33675110248;"{""type"": ""Point"", ""coordinates"": [2.336751102483476, 48.87169391155716]}";750044227;2;;;;9;303.54998779;O;O;;N;2;2 RUE TAITBOUT;750000009;750006484;2600
48.8673551943, 2.33344818379;"{""type"": ""Point"", ""coordinates"": [2.3334481837851913, 48.867355194314015]}";750002656;59;;;;1;69.65000153;O;O;;N;59;59 RUE SAINT-ROCH;750000001;750005525;2639
48.8709978776, 2.34132859505;"{""type"": ""Point"", ""coordinates"": [2.341328595046463, 48.87099787757718]}";750006358;38;b;;;2;250.07000732;N;O;;N;38b;38b RUE VIVIENNE;750000002;750006607;11659
48.8635009965, 2.34199629639;"{""type"": ""Point"", ""coordinates"": [2.341996296392264, 48.86350099653456]}";750001135;15;;;;1;71.04000092;O;O;;N;15;15 RUE DU LOUVRE;750000001;750005478;427
